id;responsavel;cedente;sala;nivel1;nivel2;nivelSuperior;tombamento;dataMovimentacao;interna;retorno;inventario;responsavelCadastro;dataConfirmacaoRecebimento;descricaoBem
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;26507;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;GAVETEIRO VOLANTE
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;32242;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;LIXEIRA COLETA SELETIVA INOX RBA, ESMALTADA, CAPACIDADE APROX. 18 LT
66229;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;32420;2019-08-15;S;N;NA;SCMC;2019/10/22 12:53:00;LIXEIRA COLETA SELETIVA INOX RBA, ESMALTADA, CAPACIDADE APROX. 18 LT
66242;AACF;ICMO;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;27784;2019-08-15;S;N;NA;SCMC;2019/08/15 18:11:00;"MESA DE TRABALHO ANGULAR EM ""L"" L1400/P600 X L1400/P600 X H730 MM"
11705;AACF;LCCS;SL. Nº 807;CONFORMIDADE DE GESTÃO - DA;NA;CNC, 08º ANDAR;15205;2017-11-06;S;N;NA;RVGB;2017/11/06 15:45:00;POLTRONA GIRATÓRIA EM COURVIN
35598;AACF;LCCS;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;32242;2018-08-15;S;N;NA;Marcio Guillardi da Silva;2019/03/19 14:36:00;LIXEIRA COLETA SELETIVA INOX RBA, ESMALTADA, CAPACIDADE APROX. 18 LT
35598;AACF;LCCS;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;32420;2018-08-15;S;N;NA;Marcio Guillardi da Silva;2019/03/19 14:36:00;LIXEIRA COLETA SELETIVA INOX RBA, ESMALTADA, CAPACIDADE APROX. 18 LT
11379;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;26689;2017-10-27;S;N;NA;RVGB;2017/10/30 11:50:00;GAVETEIRO VOLANTE
11525;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;24321;2017-10-31;S;N;NA;MJDF;2017/11/06 15:46:00;POLTRONA GIRATORIA EM TECIDO
11525;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;26114;2017-10-31;S;N;NA;MJDF;2017/11/06 15:46:00;GAVETEIRO VOLANTE COM 01 GAVETA PORTA OBJETO, 01 GAVETA MÉDIA E 01 GAVETA PARA PASTA SUSPENSA
11709;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;25929;2017-11-06;S;N;NA;MJDF;2017/11/06 15:53:00;ARMÁRIO ALTO L800 X P472 X H1600 MM
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;5988;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;APARELHO TELEFONICO KS COM TECLADO
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;23113;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;"MONITOR DE VÍDEO 23"""
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;23114;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;"MONITOR DE VÍDEO 23"""
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;23344;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;MICROCOMPUTADOR INTEL
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;26866;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;GAVETEIRO VOLANTE
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;29753;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;HEADSET MARCA MICROSOFT MODELO LX 3000
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;30551;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;POLTRONA GIRATÓRIA COM BRAÇOS
55292;AACF;LRCM;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;33328;2019-04-03;S;N;NA;Marcio Guillardi da Silva;2019/10/22 12:54:00;APOIO PARA PÉS
50785;AACF;NRF;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;19176;2019-02-19;S;N;NA;SCMC;2019/03/19 14:35:00;CALCULADORA DE MESA COM FITA E DISPLAY
50785;AACF;NRF;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;20296;2019-02-19;S;N;NA;SCMC;2019/03/19 14:35:00;APARELHO TELEFONICO KS COM TECLADO
50785;AACF;NRF;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;32163;2019-02-19;S;N;NA;SCMC;2019/03/19 14:35:00;LIXEIRA COLETA SELETIVA INOX RBA, ESMALTADA, CAPACIDADE APROX. 18 LT
50785;AACF;NRF;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;32332;2019-02-19;S;N;NA;SCMC;2019/03/19 14:35:00;LIXEIRA COLETA SELETIVA INOX RBA, ESMALTADA, CAPACIDADE APROX. 18 LT
13046;AACF;OBL;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;24044;2017-11-22;S;N;NA;MJDF;2017/11/23 11:59:00;IMPRESSORA LASER
66230;AACF;RVGB;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;27748;2019-08-15;S;N;NA;SCMC;2019/10/22 12:51:00;"MESA DE TRABALHO ANGULAR EM ""L"" L1400/P600 X L1400/P600 X H730 MM"
34468;AACF;TCAS;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;29904;2018-08-01;S;N;NA;Marcio Guillardi da Silva;2018/08/08 14:46:00;APOIO PARA PÉS
11713;AACF;WVS;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;24868;2017-11-06;S;N;NA;RVGB;2017/11/06 16:04:00;POLTRONA GIRATÓRIA, C/BRAÇOS, RECLINÁVEL, TECIDO PRETO
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;15553;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;POLTRONA GIRATORIA EM COURO ESPALDAR ALTO
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;18207;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;APARELHO TELEFONICO KS COM TECLADO
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;19598;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;MICROCOMPUTADOR INTEL
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;19815;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;MONITOR DE VÍDEO LCD
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;19816;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;MONITOR DE VÍDEO LCD
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;25841;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;"MESA DE TRABALHO ANGULAR EM ""L"" L1400/P600 X L1400/P600 X H730 MM"
81378;AACM;ALRC;SL. Nº 1108;ASSESSORIA DRA IVANA AUXILIADORA MENDONÇA SANTOS - 12º OFICIO;NA;CNC, 11º ANDAR;26280;2020-02-04;S;N;NA;SCMC;2020/02/05 14:47:00;GAVETEIRO VOLANTE COM 01 GAVETA PORTA OBJETO, 01 GAVETA MÉDIA E 01 GAVETA PARA PASTA SUSPENSA
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;18153;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;APARELHO TELEFONICO KS COM TECLADO
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;23383;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;MICROCOMPUTADOR INTEL
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;24804;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;CADEIRA MODELO:GIRATÓRIA SEM BRAÇOS
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;25617;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;"MESA DE TRABALHO ANGULAR EM ""L"" L1400/P600 X L1400/P600 X H730 MM"
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;28516;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;GAVETEIRO VOLANTE
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;29608;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;MONITOR 23 POLEGADAS MOD. P2314H, MARCA DELL.
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;29731;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;KIT WEBCONFERÊNCIA
31884;AACSF;MCM;SL. Nº 1501/1;APOIO AOS COORDENADORES NACIONAIS - APGE;NA;CNC, 15º ANDAR;30377;2018-06-20;S;N;NA;Marcio Guillardi da Silva;2018/06/25 10:37:00;MONITOR DELL 23 P2317H
64594;AAMCP;IDF;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;1381;2019-07-24;S;N;NA;SCMC;2019/08/12 16:57:00;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO
64594;AAMCP;IDF;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;8127;2019-07-24;S;N;NA;SCMC;2019/08/12 16:57:00;GRAMPEADOR DE MESA SEMI-INDUSTRIAL
64594;AAMCP;IDF;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;18103;2019-07-24;S;N;NA;SCMC;2019/08/12 16:57:00;RECEPTOR PARA TV DIGITAL
64594;AAMCP;IDF;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;18135;2019-07-24;S;N;NA;SCMC;2019/08/12 16:57:00;APARELHO TELEFONICO KS COM TECLADO
64594;AAMCP;IDF;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;22884;2019-07-24;S;N;NA;SCMC;2019/08/12 16:57:00;APARELHO TELEFÔNICO KS COM TECLADO E SUP. P/ ACESSÓRIO
64594;AAMCP;IDF;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;23480;2019-07-24;S;N;NA;SCMC;2019/08/12 16:57:00;MONITOR DE VÍDEO LED
83199;AAMCP;RVGB;SL. Nº 705;DEP. LEGISLAÇÃO - DGP;NA;CNC, 07º ANDAR;35381;2020-02-28;S;N;NA;Marcio Guillardi da Silva;NA;CADEIRA C/ ESPALDAR MEDIO REGULAVEL
21548;AAS;LCCS;SL. Nº 807C;SEÇÃO ORÇAMENTÁRIA DA CEOF - DA;NA;CNC, 08º ANDAR;31611;2018-02-02;S;N;NA;RVGB;2018/02/06 13:40:00;04003318 POLTRONA GIRATORIA ESPALDAR ALTO EM TECIDO
80315;AAS;LCCS;SL. Nº 802;DEP. EXEC. ORÇAMENTÁRIA E FINANCEIRA;NA;CNC, 08º ANDAR;18139;2020-01-14;S;N;NA;LCCS;2020/01/15 09:42:00;APARELHO TELEFONICO KS COM TECLADO
82717;AAS;RVGB;SL. Nº 806;SEÇ. PATRIMONIO;NA;CNC, 08º ANDAR;22814;2020-02-21;S;N;NA;Marcio Guillardi da Silva;2020/02/21 11:21:00;APARELHO TELEFÔNICO KS COM TECLADO E SUP. P/ ACESSÓRIO
82717;AAS;RVGB;SL. Nº 806;SEÇ. PATRIMONIO;NA;CNC, 08º ANDAR;23128;2020-02-21;S;N;NA;Marcio Guillardi da Silva;2020/02/21 11:21:00;"MONITOR DE VÍDEO 23"""
82717;AAS;RVGB;SL. Nº 806;SEÇ. PATRIMONIO;NA;CNC, 08º ANDAR;23398;2020-02-21;S;N;NA;Marcio Guillardi da Silva;2020/02/21 11:21:00;MICROCOMPUTADOR INTEL
82717;AAS;RVGB;SL. Nº 806;SEÇ. PATRIMONIO;NA;CNC, 08º ANDAR;27734;2020-02-21;S;N;NA;Marcio Guillardi da Silva;2020/02/21 11:21:00;"MESA DE TRABALHO ANGULAR EM ""L"" L1400/P600 X L1400/P600 X H730 MM"
82717;AAS;RVGB;SL. Nº 806;SEÇ. PATRIMONIO;NA;CNC, 08º ANDAR;35352;2020-02-21;S;N;NA;Marcio Guillardi da Silva;2020/02/21 11:21:00;CADEIRA C/ ESPALDAR MEDIO REGULAVEL
39311;AASJ;ALIR;SL. Nº 1205A;GABINETE DR ALUISIO ALDO DA SILVA JUNIOR - 25º OFICIO;NA;CNC, 12º ANDAR;30727;2018-10-19;S;N;NA;Marcio Guillardi da Silva;NA;ESTAÇÃO DE TRABALHO LENOVO, DESKTOP THINKCENTRE M900 TINY, WINDOWS 10 PRO
67221;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;29973;2019-08-22;S;N;NA;SCMC;NA;HEADSET USB MICROSOFT LIFECAT LX3000
67482;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;29313;2019-08-26;S;N;NA;SCMC;NA;WEBCAM USB HD MARCA MICROSOLFT MODELO LIFECAM HD5000
68394;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;30767;2019-09-02;S;N;NA;SCMC;NA;ESTAÇÃO DE TRABALHO LENOVO, DESKTOP THINKCENTRE M900 TINY, WINDOWS 10 PRO
68718;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;23186;2019-09-05;S;N;NA;Marcio Guillardi da Silva;NA;"MONITOR DE VÍDEO 24"""
68718;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;23187;2019-09-05;S;N;NA;Marcio Guillardi da Silva;NA;"MONITOR DE VÍDEO 24"""
71148;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;22523;2019-09-30;S;N;NA;Marcio Guillardi da Silva;NA;ESTACAO DE TRABALHO
80699;ABB;ALIR;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;30742;2020-01-23;S;N;NA;SCMC;NA;ESTAÇÃO DE TRABALHO LENOVO, DESKTOP THINKCENTRE M900 TINY, WINDOWS 10 PRO
71154;ABB;FALG;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;29046;2019-09-30;S;N;NA;Marcio Guillardi da Silva;NA;TELEVISOR 48 POLEGADAS
71154;ABB;FALG;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;29047;2019-09-30;S;N;NA;Marcio Guillardi da Silva;NA;TELEVISOR 48 POLEGADAS
71155;ABB;FALG;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;29042;2019-09-30;S;N;NA;Marcio Guillardi da Silva;NA;TELEVISOR 48 POLEGADAS
80367;ABB;LCCS;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;22923;2020-01-15;S;N;NA;LCCS;NA;APARELHO TELEFÔNICO KS COM TECLADO E SUP. P/ ACESSÓRIO
80700;ABB;LCCS;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;36083;2020-01-23;S;N;NA;SCMC;NA;PONTO DE ACESSO PARA 8 PARTICIPANTES, MEETUP
71156;ABB;MAB;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;29045;2019-09-30;S;N;NA;Marcio Guillardi da Silva;NA;TELEVISOR 48 POLEGADAS
70679;ABB;MCM;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;18222;2019-09-23;S;N;NA;SCMC;NA;APARELHO TELEFONICO KS COM TECLADO
80698;ABB;MMPG;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;30611;2020-01-23;S;N;NA;SCMC;NA;PEDESTAL ELG COM SUPORTE PARA TV ENTRE 40 E 50 PELEGADAS
80698;ABB;MMPG;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;30625;2020-01-23;S;N;NA;SCMC;NA;TV SANSUNG 46 POLEGADAS FORMATO WISDESCREEN
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;15;2019-09-02;S;N;NA;SCMC;NA;MESA PARA TELEFONE EM MADEIRA
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;45;2019-09-02;S;N;NA;SCMC;NA;ARMARIO BAIXO EM MADEIRA 03 PORTAS
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;4871;2019-09-02;S;N;NA;SCMC;NA;ARMARIO BAIXO EM MADEIRA 03 PORTAS
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;5932;2019-09-02;S;N;NA;SCMC;NA;FRAGMENTADORA DE PAPEL
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;8814;2019-09-02;S;N;NA;SCMC;NA;FAQUEIRO EM INOX
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;12475;2019-09-02;S;N;NA;SCMC;NA;GELADEIRA TIPO FRIGOBAR
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17597;2019-09-02;S;N;NA;SCMC;NA;TELEVISOR LCD
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17610;2019-09-02;S;N;NA;SCMC;NA;SUPORTE PARA TV LCD
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17771;2019-09-02;S;N;NA;SCMC;NA;LIXEIRA EM AÇO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17800;2019-09-02;S;N;NA;SCMC;NA;LIXEIRA EM AÇO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17950;2019-09-02;S;N;NA;SCMC;NA;LIXEIRA EM FÓRMICA
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17961;2019-09-02;S;N;NA;SCMC;NA;PAINEL EM MDF
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17962;2019-09-02;S;N;NA;SCMC;NA;PAINEL EM MDF
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;17975;2019-09-02;S;N;NA;SCMC;NA;APARELHO DE DVD
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;19063;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATORIA EM TECIDO ESPALDAR ALTO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20263;2019-09-02;S;N;NA;SCMC;NA;APARELHO TELEFONICO KS COM TECLADO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20531;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20532;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20533;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20534;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20535;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20536;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20537;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
68348;ABB;RCF;SL. Nº 1801B;GABINETE DO PROCURADOR GERAL DO TRABALHO - GP;NA;CNC, 18º ANDAR;20541;2019-09-02;S;N;NA;SCMC;NA;POLTRONA GIRATÓRIA ESPALDAR MÉDIO
